"Subject" "Activity_No." "Activity_Name2" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
2 5 "STANDING" -0.32343727 -0.56444932 -0.56444932 -0.263048 -0.006759604 -0.99829005 -0.38451662 -0.70032573 -0.76132577 -0.86692938 -0.86692938 -0.92976655 -0.79554393 -0.92519489 -0.79094643 -0.89506118 -0.77061 -0.89016545
2 5 "STANDING" -0.24811318 -0.34826197 -0.34826197 0.71335686 -0.22204048 -0.99987511 -0.59942747 -0.66600409 -0.46180113 -0.96896136 -0.96896136 -0.97371675 -0.89843314 -0.97339341 -0.95412665 -0.94543723 -0.92446082 -0.95197735
2 5 "STANDING" -0.83538077 -0.15569934 -0.15569934 -0.37629403 -0.43057138 -0.99990207 -0.94547826 -0.63980873 -0.92536377 -0.97622817 -0.97622817 -0.98161775 -0.93919355 -0.98674805 -0.97564966 -0.97106896 -0.97520949 -0.98568879
2 5 "STANDING" -0.81561608 -0.13431066 -0.13431066 -0.22531825 -0.0014568357 -0.99986817 -0.87097526 -0.88717804 -0.7568553 -0.9743245 -0.9743245 -0.98271214 -0.94718438 -0.98882036 -0.97339313 -0.97165451 -0.97629733 -0.98556187
2 5 "STANDING" -0.75032257 -0.0060664114 -0.0060664114 -0.073982376 -0.0083111514 -0.99992634 -0.59065163 -0.83131269 -0.69173882 -0.97583556 -0.97583556 -0.98690794 -0.95741922 -0.99006205 -0.97773896 -0.98748876 -0.97700701 -0.99049804
2 5 "STANDING" -0.76718227 -0.20252119 -0.20252119 -0.29374478 -0.18469433 -0.99984037 -0.89980801 -0.82795731 -0.88902625 -0.98171632 -0.98171632 -0.98733569 -0.96974417 -0.9878482 -0.9780025 -0.99129465 -0.97703453 -0.98873265
2 5 "STANDING" -0.64607986 -0.23176177 -0.23176177 -0.010002916 -0.25729405 -0.99993307 -0.96283595 -0.97377672 -0.590265 -0.987652 -0.987652 -0.98932893 -0.98233263 -0.99111713 -0.98419804 -0.99085558 -0.98385918 -0.99174622
2 5 "STANDING" -0.33309402 -0.22445667 -0.22445667 0.28621639 -0.20665597 -0.99992565 -0.88573437 -0.80907888 -0.72655729 -0.98693665 -0.98693665 -0.99314688 -0.99274936 -0.99557708 -0.99134903 -0.99398366 -0.99093371 -0.99578803
2 5 "STANDING" -0.095789069 -0.24971186 -0.24971186 -0.035966708 -0.11150168 -0.99998832 -0.29817327 -0.97311765 -0.81590903 -0.98844633 -0.98844633 -0.99389244 -0.99373292 -0.99734041 -0.99355556 -0.99740725 -0.99587319 -0.9973984
2 5 "STANDING" -0.22326089 -0.28229735 -0.28229735 -0.18595893 0.039799581 -0.99997001 -0.85698482 -0.92684278 -0.92980063 -0.99135299 -0.99135299 -0.99393494 -0.99146645 -0.99612756 -0.99369338 -0.99834875 -0.99589683 -0.9973455
