"Subject" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
1 -0.140014582478069 -0.0491918153835735 -0.0491918153835735 0.0359250982402594 -0.117131960956974 -0.956784694409222 -0.688715625787608 -0.637882103117867 -0.506323319276945 -0.453632943768818 -0.453632943768818 -0.545431612066571 -0.475404785802305 -0.639517432642651 -0.478448523354179 -0.499075765624092 -0.535002770337752 -0.645970655298847
2 -0.239284362336755 -0.0570892316399371 -0.0570892316399371 0.0688931637195364 -0.0766789491913907 -0.923628837119205 -0.685566062996689 -0.593132222930066 -0.605982196850993 -0.535281800541722 -0.535281800541722 -0.58777744543543 -0.614771054893146 -0.746559539039735 -0.514569861316887 -0.509746432970861 -0.699742945221854 -0.751615078360927
3 -0.107025768144897 -0.0629949821747801 -0.0629949821747801 0.00407820575718475 -0.0535119465671848 -0.976900586774194 -0.672093167772434 -0.561776583640469 -0.577542913560537 -0.563140802770059 -0.563140802770059 -0.650182434328446 -0.643150121648094 -0.784056656246334 -0.579076453758064 -0.604752108072727 -0.716822144279179 -0.810085498651026
4 -0.0633908272408517 -0.0458894548291167 -0.0458894548291167 -0.00490527515883281 0.0579308807350473 -0.941390245047319 -0.58316700245836 -0.562303965280442 -0.527797350798107 -0.56158213510694 -0.56158213510694 -0.656116311856877 -0.656291093847319 -0.819191368044164 -0.602098037677603 -0.63501900541041 -0.745650754608833 -0.838833209652997
5 -0.0340190859350993 -0.0632658570116026 -0.0632658570116026 -0.0313219733798013 -0.0977463073887417 -0.938884676423841 -0.622500047417219 -0.584574026338079 -0.628709449615894 -0.460866415568709 -0.460866415568709 -0.589313870006622 -0.602770284825828 -0.707383517582782 -0.528503022745033 -0.573176177044172 -0.677355755703311 -0.748829309536424
6 -0.203990054925538 -0.0309695179415385 -0.0309695179415385 -0.0325159345524923 -0.110977092557034 -0.903332518861538 -0.597637325353846 -0.608244930483077 -0.728848991710769 -0.464770006998123 -0.464770006998123 -0.551413652396923 -0.549494852037046 -0.621936158532308 -0.473974924380431 -0.494882316238462 -0.579130051151385 -0.651886909221538
7 -0.305084110404221 -0.0103608721888961 -0.0103608721888961 0.00120487007954546 0.0139212446199675 -0.968107074058442 -0.527078652041883 -0.508126871173701 -0.493481546224026 -0.511312036747403 -0.511312036747403 -0.622815767680292 -0.581899897967532 -0.713191348337662 -0.518323878824675 -0.553360009658182 -0.628877272791136 -0.668879188156396
8 -0.127257585286904 -0.116670984978648 -0.116670984978648 -0.103568311138292 0.00539242527580071 -0.952248850284698 -0.639560830626335 -0.758706025975089 -0.523995597193594 -0.468522592843416 -0.468522592843416 -0.534248616612028 -0.476214943826192 -0.673625525658363 -0.512106792856939 -0.529244911130605 -0.609984289180071 -0.70215621546726
9 0.118754676428472 -0.0572281955868056 -0.0572281955868056 -0.129470527798958 -0.0817126595448611 -0.982376583125 -0.654877788232639 -0.448280031316667 -0.584530174336042 -0.505183470509188 -0.505183470509188 -0.621608245092361 -0.550201866572569 -0.7629795809375 -0.553186448295139 -0.609193721940625 -0.700863097986111 -0.786473954201389
10 0.0500199121836735 -0.121168723757922 -0.121168723757922 -0.0195124193033255 -0.0650336248039456 -0.95285351829932 -0.686748577343537 -0.655902044785714 -0.63629544085034 -0.502500207000204 -0.502500207000204 -0.57776193128833 -0.521819802352381 -0.734465805340136 -0.518734046961905 -0.515140810846939 -0.661496552826531 -0.767780095068027
11 0.0274157945953481 -0.0470450692733133 -0.0470450692733133 -0.0844928174203481 -0.00977386751806962 -0.987084076234177 -0.696115804110759 -0.603941715534177 -0.571880430909177 -0.542825032813608 -0.542825032813608 -0.679819504547468 -0.628367851066456 -0.826829028481013 -0.611528074359177 -0.656133473274684 -0.757585939588608 -0.864827011392405
12 -0.0366384983846875 -0.0038239326621875 -0.0038239326621875 0.030770299898 -0.08442260098 -0.96174996665625 -0.62258951955625 -0.545052787498125 -0.615223792904506 -0.559586545675313 -0.559586545675313 -0.6300504918575 -0.63166805889875 -0.77729447821875 -0.55928367746625 -0.564239194378438 -0.717311676745625 -0.78990285099375
13 -0.236134704746483 -0.0812011027883792 -0.0812011027883792 -0.0204359410957798 -0.112066802092049 -0.957753795963303 -0.606501643941896 -0.545164640719878 -0.551795383644343 -0.539871637249541 -0.539871637249541 -0.625466938809174 -0.581215403184709 -0.712745036012232 -0.589928108599083 -0.607295296423853 -0.652225306544343 -0.712054366504281
14 -0.103052042960836 -0.0496903942968731 -0.0496903942968731 -0.119657750437152 -0.0669493231018576 -0.961549467151703 -0.619815263339938 -0.5403741002387 -0.579429758890712 -0.453262620331889 -0.453262620331889 -0.608973420309907 -0.416459776709257 -0.700520939854799 -0.490874179820433 -0.596896308848452 -0.543030528985449 -0.717590101802972
15 -0.03589902699125 -0.0758776303927439 -0.0758776303927439 -0.0514610196457317 -0.0542745147657591 -0.982368371585366 -0.656990858314024 -0.677640387552134 -0.582198431045732 -0.527285352000488 -0.527285352000488 -0.654799694757531 -0.617721779796037 -0.805282669512195 -0.562948391223628 -0.614817605125915 -0.732394493841463 -0.83680189402439
16 0.0424870540431694 -0.0585560819733333 -0.0585560819733333 -0.0598259325279508 -0.0495879774028962 -0.991423203360656 -0.605339364289617 -0.661107135227049 -0.565554545992924 -0.616131116889044 -0.616131116889044 -0.725246870486339 -0.718168775628415 -0.860446372459016 -0.666962508246721 -0.713167613706148 -0.81712881920765 -0.87277228273224
17 -0.156541413609239 -0.0922540161415761 -0.0922540161415761 -0.0733402373708696 -0.113237857071168 -0.986491327554348 -0.538472873953533 -0.630303262615489 -0.49319544476087 -0.568367244093859 -0.568367244093859 -0.696465197235054 -0.676185123284103 -0.810438232853261 -0.646189154826902 -0.697575558993207 -0.769498551467391 -0.829124468315217
18 -0.056524480051044 -0.103420726158791 -0.103420726158791 -0.0659252517868132 -0.0611415275811538 -0.99179019771978 -0.707190560703297 -0.62184689467033 -0.60285176672033 -0.658370952115385 -0.658370952115385 -0.753904676895604 -0.714735668626374 -0.859899942335165 -0.697732862178571 -0.742323821887363 -0.816286626730769 -0.88466302260989
19 -0.169826316053611 -0.0944196037356111 -0.0944196037356111 -0.0143635160228611 -0.0838070012175 -0.922707125555556 -0.619923645403611 -0.707005982963056 -0.547001152686111 -0.531507362111361 -0.531507362111361 -0.5762252472125 -0.548919668132222 -0.683436541824444 -0.556404444967972 -0.576064647812278 -0.636287999799167 -0.719519008752778
20 -0.0813792545353107 -0.0502564841339266 -0.0502564841339266 -0.0741533345121751 0.0449185547824859 -0.963786795 -0.637702984241243 -0.617887205873446 -0.668193694322034 -0.517257429345412 -0.517257429345412 -0.619698756735028 -0.516861235888701 -0.684048497355932 -0.560278889421186 -0.584571446817062 -0.606970915061638 -0.692638075749774
21 -0.147096820937623 -0.0386087193459135 -0.0386087193459135 -0.0731918015763971 -0.0888848806166912 -0.97818946129902 -0.583876378965196 -0.59207221201152 -0.588907241585049 -0.620309259553676 -0.620309259553676 -0.703461275879657 -0.693779224517157 -0.807817403137255 -0.658664719514706 -0.679742584809363 -0.776473060171569 -0.826275026053922
22 -0.171421066866044 -0.106124931011869 -0.106124931011869 -0.00690789267850467 -0.0268998462148598 -0.947051582866044 -0.567814392923053 -0.511359499661994 -0.527147083164299 -0.504099198287601 -0.504099198287601 -0.609772829890966 -0.637666108456075 -0.794681311214953 -0.574333164853583 -0.585442501515888 -0.728166770031153 -0.830191956697819
23 -0.30079017879457 -0.11980388690914 -0.11980388690914 -0.0548695924814516 -0.10463410029086 -0.965257828225806 -0.630005218853495 -0.681184723083333 -0.617142129177151 -0.532754757205108 -0.532754757205108 -0.58640067170914 -0.544207964433387 -0.623412641977151 -0.529029284118011 -0.542663319457527 -0.534657191683602 -0.584111049810215
24 -0.112961231426877 0.00596607212448819 0.00596607212448819 0.0124381577168504 -0.0306228875627297 -0.987388091706037 -0.630239074390551 -0.510962120490945 -0.616326058035171 -0.620032665162467 -0.620032665162467 -0.713667423769029 -0.682447212750656 -0.791646550787402 -0.650121872273806 -0.696845583388451 -0.754131617480315 -0.795019165380577
25 -0.116503418508093 0.0233690471588655 0.0233690471588655 -0.113521480359364 0.012931100845379 -0.99345603398533 -0.595202505013692 -0.506172195461858 -0.541920945777213 -0.583377749713936 -0.583377749713936 -0.783445354474328 -0.625733064258924 -0.849630706259169 -0.69501971 -0.779190075892421 -0.754236109755501 -0.875970674743276
26 -0.181869952947832 -0.0705082549148724 -0.0705082549148724 0.00435349747548469 -0.0784602919170918 -0.977871272576531 -0.617271297821684 -0.625751216105357 -0.568792938145944 -0.600932264175765 -0.600932264175765 -0.694917859209184 -0.694597662936224 -0.798325916709184 -0.6317569828625 -0.679278323637755 -0.770504884821429 -0.823865297193878
27 -0.137240110917633 -0.103791642539096 -0.103791642539096 -0.0969437376992287 -0.103564766894149 -0.975086676675532 -0.697827826617819 -0.631641320984043 -0.53967537362766 -0.627947737417819 -0.627947737417819 -0.70180744799867 -0.694016019806117 -0.823067662473404 -0.667185803946808 -0.688572791044947 -0.785953610106383 -0.837585999827128
28 -0.23603788155411 -0.0530375117037173 -0.0530375117037173 -0.0505930038282173 -0.0645200858246073 -0.976605311256544 -0.61462636607801 -0.612522023235026 -0.621167550689005 -0.610030902501309 -0.610030902501309 -0.689429387759162 -0.648538641430367 -0.78929494326178 -0.628763247405236 -0.675428720467801 -0.73790809206911 -0.806882151753927
29 -0.0825718458107558 -0.0486612479003198 -0.0486612479003198 -0.0447853077252326 -0.0762147465662791 -0.969637746773256 -0.684531116735465 -0.721968309647093 -0.61090805500843 -0.553585593347965 -0.553585593347965 -0.664538060484884 -0.602228993700349 -0.802293906366279 -0.589294014734302 -0.609879937469099 -0.722018434984302 -0.840464164156977
30 0.00419606993224543 0.0156356700728198 0.0156356700728198 -0.0613266527167363 0.0486629021589034 -0.984320551018277 -0.687026182382507 -0.575800840653525 -0.470270666193212 -0.538131194183003 -0.538131194183003 -0.697050126998956 -0.510032754098198 -0.785870931331593 -0.600372067046214 -0.656339723754047 -0.669600510563003 -0.811292332428198
